text_id,sent_id,finite_verb,non_finite_verb,length,befaft_bef,befaft_aft,argstr_NC,argstr_NP,argstr_PP,tense_pre,tense_pst,tense_fut,tense_cond,verb_POS,target_form
15,23172,start,bend,4,0,0,1,0,0,0,0,0,0,VV,0
15,24009,start,collect,7,0,0,1,0,0,1,0,0,0,VVG,1
15,24151,start,take,4,0,1,0,1,0,0,1,0,0,VV,0
15,24368,start,look,4,0,0,1,0,0,0,1,0,0,VVG,1
15,24446,start,lay,3,0,1,0,1,0,1,0,0,0,VVG,1
15,24659,start,include,7,0,1,0,1,0,1,0,0,0,VVG,1
15,25034,start,flower,6,0,0,0,0,1,1,0,0,0,VVG,1
15,25137,start,make,4,0,1,0,1,0,0,0,1,0,VV,0
15,25138,start,flower,6,0,0,0,0,1,1,0,0,0,VVG,1
16,25265,start,turn,4,0,0,1,0,0,1,0,0,0,VV,0
16,25478,start,swing,5,0,0,1,0,0,0,0,1,0,VV,0
16,25527,start,go,2,0,0,1,0,0,0,0,1,0,VV,0
16,25652,start,swing,5,0,0,1,0,0,0,0,1,0,VV,0
16,25657,start,roll,4,0,0,1,0,0,1,0,0,0,VV,0
16,25674,start,go,2,0,1,0,0,1,1,0,0,0,VV,0
16,25739,start,swing,5,0,0,1,0,0,0,1,0,0,VV,0
16,25811,start,ascend,6,0,1,0,1,0,1,0,0,0,VV,0
16,25892,start,gain,4,0,1,0,1,0,0,0,1,0,VV,0
16,26098,start,fall,4,0,0,1,0,0,1,0,0,0,VVG,1
16,26205,start,keep,4,0,0,1,0,0,1,0,0,0,VVG,1
16,26278,start,work,4,0,0,1,0,0,1,0,0,0,VV,0
16,26307,start,get,3,0,0,1,0,0,1,0,0,0,VV,0
16,26310,start,look,4,0,0,0,0,1,1,0,0,0,VVG,1
16,26444,start,straighten,10,0,0,0,0,1,0,1,0,0,VV,0
16,26522,start,climb,5,0,0,1,0,0,1,0,0,0,VVG,1
16,26546,start,climb,5,0,0,1,0,0,0,0,0,0,VV,0
16,26553,start,descend,7,0,0,1,0,0,1,0,0,0,VV,0
16,26726,start,fall,4,0,0,1,0,0,1,0,0,0,VV,0
16,26769,start,fly,3,0,0,1,0,0,1,0,0,0,VVG,1
16,26868,start,side-slip,9,0,0,1,0,0,0,1,0,0,VV,0
16,26913,start,look,4,0,0,0,0,1,0,0,0,0,VV,0
17,27048,start,build,5,0,0,1,0,0,1,0,0,0,VV,0
17,27150,start,use,3,0,1,0,1,0,1,0,0,0,VVG,1
17,27697,start,increase,8,0,0,1,0,0,0,0,0,0,VV,0
17,27743,start,feel,4,0,1,1,0,0,0,1,0,0,VVG,1
17,28015,start,dry,3,1,0,0,1,0,0,0,1,0,VV,0
17,28185,start,think,5,0,0,0,0,1,1,0,0,0,VVG,1
17,28860,start,plan,4,0,0,1,0,0,1,0,0,0,VV,0
18,30149,start,notice,6,0,0,1,0,0,1,0,0,0,VV,0
18,30159,start,fall,4,0,0,0,0,1,1,0,0,0,VVG,1
18,30187,start,find,4,0,0,0,0,1,0,1,0,0,VV,0
19,31993,start,think,5,0,0,0,0,1,1,0,0,0,VVG,1
19,31995,start,resent,6,1,0,0,1,0,1,0,0,0,VV,0
19,32002,start,need,4,0,0,1,0,0,0,1,0,0,VV,0
19,32691,hate,go,2,0,0,1,0,0,0,1,0,0,VV,0
19,33461,start,scream,6,0,0,0,0,1,0,1,0,0,VVG,1
20,35553,start,swell,5,0,0,1,0,0,0,1,0,0,VVG,1
21,35898,start,clear,5,0,1,0,1,0,0,1,0,0,VV,0
21,36074,start,get,3,0,0,0,0,1,0,1,0,0,VV,0
21,36146,start,snore,5,0,0,1,0,0,0,1,0,0,VV,0
21,36148,start,take,4,0,1,0,1,0,0,1,0,0,VV,0
21,36483,start,carry,5,0,0,1,0,0,0,1,0,0,VV,0
21,36559,start,rise,4,0,0,1,0,0,0,1,0,0,VV,0
21,36640,start,pick,4,0,1,0,1,0,0,1,0,0,VV,0
21,36720,start,review,6,1,0,0,1,0,0,0,0,0,VV,0
21,36918,start,bark,4,0,0,1,0,0,0,1,0,0,VVG,1
21,37322,start,answer,6,0,0,1,0,0,0,1,0,0,VV,0
21,37346,start,take,4,0,1,0,1,0,0,1,0,0,VV,0
21,37590,start,make,4,0,1,0,1,0,0,1,0,0,VV,0
22,39466,start,sit,3,0,0,0,0,1,1,0,0,0,VVG,1
22,39466,start,sing,4,0,0,1,0,0,1,0,0,0,VV,0
22,39667,start,gain,4,0,1,0,1,0,0,1,0,0,VV,0
23,41964,hate,leave,5,0,0,0,0,1,1,0,0,0,VV,0
23,42529,start,do,2,0,1,0,1,0,0,0,0,1,VVG,1
23,43057,start,propel,6,0,0,0,0,1,0,1,0,0,VV,0
